t,lat,lon,el
1687602217.000000,-12.772089,45.288001,21.798000
1687602218.000000,-12.772089,45.288004,21.802000
1687602219.000000,-12.772088,45.288007,21.798000
1687602220.000000,-12.772087,45.288009,21.795000
1687602221.000000,-12.772087,45.288011,21.795000
1687602222.000000,-12.772085,45.288014,21.806000
1687602223.000000,-12.772084,45.288017,21.800000
1687602224.000000,-12.772083,45.288019,21.801000
1687602225.000000,-12.772081,45.288022,21.801000
1687602226.000000,-12.772080,45.288025,21.793000
1687602227.000000,-12.772078,45.288027,21.796000
1687602228.000000,-12.772077,45.288029,21.804000
1687602229.000000,-12.772075,45.288031,21.805000
1687602230.000000,-12.772073,45.288033,21.787000
1687602231.000000,-12.772071,45.288035,21.789000
1687602232.000000,-12.772070,45.288037,21.795000
1687602233.000000,-12.772068,45.288039,21.797000
1687602234.000000,-12.772066,45.288040,21.806000
1687602235.000000,-12.772065,45.288041,21.800000
1687602236.000000,-12.772063,45.288042,21.787000
1687602237.000000,-12.772062,45.288043,21.793000
1687602238.000000,-12.772060,45.288045,21.788000
1687602239.000000,-12.772058,45.288046,21.791000
1687602240.000000,-12.772057,45.288048,21.789000
1687602241.000000,-12.772056,45.288049,21.795000
1687602242.000000,-12.772054,45.288051,21.795000
1687602243.000000,-12.772053,45.288053,21.777000
1687602244.000000,-12.772051,45.288055,21.764000
1687602245.000000,-12.772050,45.288057,21.766000
1687602246.000000,-12.772048,45.288060,21.769000
1687602247.000000,-12.772047,45.288062,21.791000
1687602248.000000,-12.772045,45.288065,21.780000
1687602249.000000,-12.772044,45.288067,21.790000
1687602250.000000,-12.772043,45.288070,21.782000
1687602251.000000,-12.772042,45.288073,21.778000
1687602252.000000,-12.772040,45.288076,21.776000
1687602253.000000,-12.772039,45.288080,21.785000
1687602254.000000,-12.772038,45.288083,21.785000
1687602255.000000,-12.772037,45.288085,21.775000
1687602256.000000,-12.772036,45.288088,21.786000
1687602257.000000,-12.772034,45.288091,21.780000
1687602258.000000,-12.772033,45.288094,21.781000
1687602259.000000,-12.772032,45.288096,21.774000
1687602260.000000,-12.772030,45.288099,21.769000
1687602261.000000,-12.772029,45.288102,21.772000
1687602262.000000,-12.772027,45.288105,21.776000
1687602263.000000,-12.772026,45.288108,21.778000
1687602264.000000,-12.772025,45.288112,21.776000
1687602265.000000,-12.772023,45.288116,21.787000
