t,d
1687686753.746099,1.750000
1687686754.304432,1.760000
1687686754.304432,1.760000
1687686754.304432,1.760000
1687686754.861435,1.760000
1687686754.861435,1.760000
1687686754.861435,1.760000
1687686755.419817,1.770000
1687686755.419817,1.770000
1687686755.419817,1.770000
1687686755.97693,1.740000
1687686755.97693,1.740000
1687686755.97693,1.740000
1687686756.535195,1.750000
1687686756.535195,1.750000
1687686756.535195,1.750000
1687686757.092311,1.710000
1687686757.092311,1.710000
1687686757.092311,1.710000
1687686757.650699,1.790000
1687686757.650699,1.790000
1687686757.650699,1.790000
1687686758.207683,1.770000
1687686758.207683,1.770000
1687686758.207683,1.770000
1687686758.766073,1.770000
1687686758.766073,1.770000
1687686758.766073,1.770000
1687686759.323183,1.780000
1687686759.323183,1.780000
1687686759.323183,1.780000
1687686759.881433,1.770000
1687686759.881433,1.770000
1687686759.881433,1.770000
1687686760.438578,1.820000
1687686760.438578,1.820000
1687686760.438578,1.820000
1687686760.996927,1.770000
1687686760.996927,1.770000
1687686760.996927,1.770000
1687686761.553971,1.810000
1687686761.553971,1.810000
1687686761.553971,1.810000
1687686762.1123,1.820000
1687686762.1123,1.820000
1687686762.1123,1.820000
1687686762.669464,1.780000
1687686762.669464,1.780000
1687686762.669464,1.780000
1687686763.227676,1.810000
1687686763.227676,1.810000
1687686763.227676,1.810000
1687686763.784806,1.790000
1687686763.784806,1.790000
1687686763.784806,1.790000
1687686764.34319,1.840000
1687686764.34319,1.840000
1687686764.34319,1.840000
1687686764.900183,1.820000
1687686764.900183,1.820000
1687686764.900183,1.820000
1687686765.458571,1.840000
1687686765.458571,1.840000
1687686765.458571,1.840000
1687686766.015941,1.900000
1687686766.015941,1.900000
1687686766.015941,1.900000
1687686766.573984,1.850000
1687686766.573984,1.850000
1687686766.573984,1.850000
1687686767.131057,1.870000
1687686767.131057,1.870000
1687686767.131057,1.870000
1687686767.689483,1.880000
1687686767.689483,1.880000
1687686767.689483,1.880000
1687686768.24643,1.890000
1687686768.24643,1.890000
1687686768.24643,1.890000
1687686768.804819,1.920000
1687686768.804819,1.920000
1687686768.804819,1.920000
1687686769.361946,1.880000
1687686769.361946,1.880000
1687686769.361946,1.880000
1687686769.920178,1.900000
1687686769.920178,1.900000
1687686769.920178,1.900000
1687686770.477325,1.900000
1687686770.477325,1.900000
1687686770.477325,1.900000
1687686771.035677,1.900000
1687686771.035677,1.900000
1687686771.035677,1.900000
1687686771.592739,1.900000
1687686771.592739,1.900000
1687686771.592739,1.900000
1687686772.151052,1.910000
1687686772.151052,1.910000
1687686772.151052,1.910000
1687686772.70819,1.930000
1687686772.70819,1.930000
1687686772.70819,1.930000
1687686773.266433,1.890000
1687686773.266433,1.890000
1687686773.266433,1.890000
1687686773.823609,1.910000
1687686773.823609,1.910000
1687686773.823609,1.910000
1687686774.38194,1.950000
1687686774.38194,1.950000
1687686774.38194,1.950000
